Borough,Latitude,Longitude
MANHATTAN,40.72631862,-74.0014179
STATEN ISLAND,40.63813425,-74.08748349
BROOKLYN,40.67589887,-73.89510817
MANHATTAN,40.76234212,-73.98235155
QUEENS,40.76096136,-73.83028015
BROOKLYN,40.6227987,-74.02834995
BROOKLYN,40.64166078,-73.9368702
QUEENS,40.71963834,-73.84333638
BROOKLYN,40.67738196,-73.96367371
MANHATTAN,40.7255627,-73.98390545
STATEN ISLAND,40.58497087,-74.09372867
MANHATTAN,40.76787002,-73.9823176
MANHATTAN,40.78758451,-73.9446548
QUEENS,40.69120105,-73.82157618
QUEENS,40.72638582,-73.85228611
BROOKLYN,40.67981703,-73.93883505
MANHATTAN,40.74023996,-74.00370606
BROOKLYN,40.70873107,-73.95879449
QUEENS,40.68719588,-73.85217461
STATEN ISLAND,40.58497087,-74.09372867
MANHATTAN,40.81220079,-73.94225006
MANHATTAN,40.78602261,-73.97621722
BROOKLYN,40.6698223,-73.88136172
QUEENS,40.74272273,-73.91484036
QUEENS,40.71265425,-73.82701243
BRONX,40.87980324,-73.8789041
QUEENS,40.75687993,-73.87290113
MANHATTAN,40.75814845,-73.97043376
STATEN ISLAND,40.56391672,-74.11636271
MANHATTAN,40.81919531,-73.9502213
QUEENS,40.75630907,-73.76743599
MANHATTAN,40.77152734,-73.95636199
BRONX,40.87912268,-73.87140902
BRONX,40.83737686,-73.91029578
BROOKLYN,40.69698634,-73.93522383
MANHATTAN,40.76619802,-73.97954553
QUEENS,40.73945432,-73.79075224
MANHATTAN,40.73199094,-73.98410956
MANHATTAN,40.82210192,-73.93872595
BROOKLYN,40.63433832,-73.99281941
BROOKLYN,40.67463482,-73.95004079
MANHATTAN,40.73282363,-74.00393297
MANHATTAN,40.7612355,-73.97943515
QUEENS,40.77862176,-73.90169117
MANHATTAN,40.85068196,-73.93752849
MANHATTAN,40.82820405,-73.9454268
MANHATTAN,40.78245488,-73.95134288
QUEENS,40.70174622,-73.88083245
QUEENS,40.64824356,-73.78824186
BRONX,40.86057707,-73.90254612
BROOKLYN,40.69641847,-73.94649394
QUEENS,40.72919216,-73.85983151
QUEENS,40.70547114,-73.80146999
QUEENS,40.65778572,-73.7703096
QUEENS,40.69474874,-73.78990445
MANHATTAN,40.71427943,-73.9874685
MANHATTAN,40.7880807,-73.94930565
QUEENS,40.76529233,-73.91799551
MANHATTAN,40.77120229,-73.9833276
QUEENS,40.70796659,-73.83098136
QUEENS,40.70796659,-73.83098136
MANHATTAN,40.75903995,-73.96840113
MANHATTAN,40.71342373,-73.99761926
BRONX,40.8776253,-73.82808028
MANHATTAN,40.71342373,-73.99761926
BROOKLYN,40.67821199,-73.97923002
QUEENS,40.69442415,-73.75228959
STATEN ISLAND,40.57714886,-74.16406543
MANHATTAN,40.78967436,-73.96984918
QUEENS,40.6913632,-73.77899256
BROOKLYN,40.68437561,-73.99206766
BROOKLYN,40.62268341,-74.02840754
QUEENS,40.76942836,-73.91023929
MANHATTAN,40.76074177,-73.96866384
BRONX,40.83186042,-73.84787823
MANHATTAN,40.72384556,-73.99688652
BRONX,40.90545695,-73.89788957
STATEN ISLAND,40.63458667,-74.11677057
MANHATTAN,40.78926912,-73.97386872
MANHATTAN,40.73767633,-74.004673
MANHATTAN,40.71792475,-73.99032489
QUEENS,40.7343405,-73.8733266
